nombre;moneda;precio;cantidad;porcentaje;
1PM;GBX;27.25;0.25;0.91;
1SPATIAL;GBX;30.00;0.47;0.00;
3I GRP.;GBX;1;163.00;0.00;
4D PHARMA PLC;GBX;61.25;-5.50;-11.55;
4IMPRINT GRP.;GBX;3;350.00;0.30;
600 GRP.;GBX;14.10;-8.00;0.00;
7DIGITAL;GBX;0.41;0.00;0.00;
88 ENERGY;GBX;1.40;-10.00;5.66;
888 HLDGS;GBX;131.00;0.69;-1.65;
A.B.ENGINEERING;GBX;15.00;0.00;0.00;
A.B.FOOD;GBX;2;611.00;0.00;
AA PLC;GBX;43.28;0.07;-1.59;
AB DYNAMICS;GBX;1;845.00;-2.32;
AB NEW INDIA;GBX;483.00;-2.20;0.62;
ABCAM;GBX;1;300.00;0.84;
ABDN.ASN INC;GBX;209.00;0.00;0.95;
ABDN.NEW THAI;GBX;507.50;-62.00;0.49;
ABDN.NW.DWN;GBX;257.00;0.01;-1.15;
ABERDEEN DI&G;GBX;110.50;0.70;0.45;
ABERDEEN JAPAN;GBX;615.00;0.01;0.81;
ARRICANO REAL;USD;0.45;0.00;0.00;
ARROW GLOBAL;GBX;299.00;5.00;1.70;
ARTEMIS ALPHA;GBX;333.00;0.01;-2.35;
ARTEMIS VCT;GBX;35.60;-8.00;0.00;
ASA INT;GBX;265.50;0.69;0.19;
ASCENT RES.;GBX;0.06;0.00;0.00;
ASCENTIAL;GBX;361.40;0.50;-1.42;
ASHLEY HOUSE;GBX;2.30;-62.01;0.00;
ASHLEY(LAURA);GBX;1.65;0.00;-18.62;
ASHMORE;GBX;562.00;-5.20;-1.40;
ASHOKA INDIA E.;GBX;117.00;0.01;-1.27;
ASHTEAD GRP.;GBX;2;701.00;0.00;
ASIA DRAGON;GBX;415.00;0.38;-1.07;
ASIAMET RES;GBX;2.08;-8.01;-4.60;
ASIMILAR GRP;GBX;48.00;-8.00;0.00;
ASOS;GBX;3;311.00;-1.52;
ASSD.NON.STANDA;GBX;-;-1.50;0.00;
ASSETCO;GBX;385.00;0.01;0.00;
ASSURA;GBX;81.80;-18.00;0.85;
ASTON MARTIN;GBX;430.60;-62.02;-4.37;
ASTRAZENECA;GBX;7;521.00;144.00;
ATALAYA MINING;GBX;172.00;0.01;-3.91;
ATHELNEY TST.;GBX;240.00;-7.00;0.00;
ATLANTIS JAPAN;GBX;225.50;1.95;-1.10;
ATLAS MARA;USD;1.01;0.00;1.00;
ATTIS OIL & GAS;GBX;0.07;-2.50;0.00;
ATTRAQT GROUP;GBX;39.90;0.00;0.00;
AUCTUS GROWTH;GBX;30.50;0.01;0.00;
AUGEAN;GBX;219.00;0.45;0.45;
AUGMENTUM FINT.;GBX;97.00;0.00;0.00;
AUKETT SWANKE;GBX;2.80;0.00;-3.45;
AURA EGY;GBX;0.28;0.00;0.00;
AURORA INV.TST.;GBX;232.00;-1.00;0.43;
AUTINS GROUP;GBX;20.50;0.00;0.00;
AUTO TRAD;GBX;577.00;0.00;-4.28;
AVACTA;GBX;29.75;0.10;1.54;
AVAST;GBX;443.00;-1.12;-1.12;
AVATION;GBX;322.00;0.00;0.00;
AVEVA GRP;GBX;5;245.00;-1.00;
AVI GLOBAL TST;GBX;770.00;-1.66;-1.66;
AORTECH INTL;GBX;77.50;-1.00;-1.27;
API GROUP;USD;9.40;0.00;0.00;
APPLIED GRAPH.;GBX;15.50;0.00;-6.06;
APPRECIATE GRP.;GBX;61.50;-1.00;-2.38;
APTITUDE;GBX;521.00;0.19;0.19;
AQUILA EURO.;EUR;1.07;-1.50;0.00;
AQUILA EURO. ?;GBX;90.30;0.00;0.00;
AQUILA SRVS GRP;GBX;35.00;1.00;0.00;
AQUIS EXCHANGE;GBX;375.00;0.00;0.00;
ARBUTHNOT;GBX;1;085.00;0.00;
ARC MINERALS;GBX;2.55;0.00;-3.77;
ARCONTECH GRP;GBX;222.00;0.00;-2.20;
ARDEN PARTNERS;GBX;14.00;0.00;0.00;
ARENA EVENTS G.;GBX;21.50;0.00;-2.27;
ARGENTEX GROUP.;GBX;187.25;0.10;-1.19;
ARGO BLOCKCHAI.;GBX;6.52;-1.81;-1.81;
ARGOS RESOURCES;GBX;3.85;-5.00;0.00;
ARIANA;GBX;3.20;3.23;3.23;
ARIX BIOSCIENCE;GBX;88.50;0.00;3.15;
ARMADALE CAP.;GBX;2.90;0.50;9.43;
ABERDEEN SML.CO;GBX;348.50;0.00;0.00;
ABERFORTH SPLI.;GBX;88.50;0.50;0.57;
ABERFORTH SPLIZ;GBX;109.50;0.00;0.00;
ABERFTH.SMLL.CO;GBX;1;422.00;0.00;
ABSTD ASIA CULS;GBX;100.00;-16.00;0.00;
ABSTD ASIAFOCUS;GBX;1;050.00;-1.41;
ABSTD EQUITYINC;GBX;394.00;0.00;-1.50;
ABSTD EURO LOG.;GBX;93.00;-15.00;0.00;
ACC.INT.;GBX;51.00;0.00;0.00;
ACCESSO TECH;GBX;550.00;-6.00;-1.08;
ACCROL GP;GBX;36.75;-2.00;-2.00;
ACCSYS TECH;GBX;102.50;0.00;0.97;
ACTIVE ENERGY;GBX;0.62;0.00;-8.76;
ACTUAL EXPERIEN;GBX;47.50;-6.00;-1.04;
ADAMAS FIN;GBX;29.00;0.00;0.00;
ADEPT TECH.;GBX;355.00;0.75;0.00;
ADES INT.HDG;USD;11.70;-1.68;-1.68;
ADM ENERGY;GBX;4.60;-1.00;2.22;
ADMIRAL GRP;GBX;2;310.00;0.13;
ADRIATIC METAL.;USD;91.10;0.06;0.22;
ADVANCED MED.;USD;277.00;6.50;2.40;
ADVANCED ONCO;GBX;39.00;0.00;0.00;
ADVFN;USD;18.00;0.00;0.00;
AEOREMA COMM.;GBX;35.50;0.00;-2.74;
AEW UK LONG LE;GBX;73.75;-1.00;0.67;
AEW UK REIT;USD;96.00;0.63;0.63;
AFARAK GROUP;GBX;40.50;0.50;0.00;
AFC ENERGY;GBX;33.50;1.52;1.52;
AFH FINANCIAL;USD;420.00;0.60;0.00;
AFRITIN MINING.;GBX;2.80;0.90;0.90;
AGGREKO;GBX;759.00;0.00;-1.76;
AGRITERRA LD;USD;5.47;0.50;0.00;
AIQ LIMITED;GBX;27.50;0.00;0.00;
AIR PARTNER;GBX;74.80;0.00;1.91;
AIREA;GBX;41.00;0.03;0.00;
AIRTEL AFRICA;GBX;74.95;0.60;0.60;
AJ BELL;USD;386.00;-13.60;0.77;
ALBA MIN;GBX;0.12;0.00;0.00;
ALBION EN. VCT;GBX;110.00;0.00;0.00;
ALBION VENTURE;GBX;71.75;0.00;0.00;
ALBION. DEV VCT;USD;79.50;0.00;0.00;
ALBION. TCH VCT;GBX;79.00;0.00;0.00;
ALCENTRA GBP;GBX;99.80;2.00;2.04;
ALFA FIN;GBX;88.10;-1.67;-1.67;
ALIEN METALS;GBX;0.20;-1.50;0.00;
ALL ACTIVE;GBX;0.18;0.00;0.00;
ALLERGY THERA.;USD;11.65;0.00;0.00;
ALLIANCE PHARMA;GBX;84.50;0.00;0.59;
ALLIANCE TRUST;GBX;864.00;0.00;0.80;
ALLIANZ TECH;GBX;1;950.00;0.50;
ALLIED MIND;GBX;39.15;0.71;1.56;
ALPHA FIN. MKTS;GBX;236.00;-7.00;-1.26;
ALPHA FX GROUP.;GBX;1;235.00;0.41;
ALPHA GROWTH;GBX;1.80;-14.00;0.00;
ALTITUDE;GBX;47.00;0.00;0.00;
ALTUS STRATEGI.;GBX;7.75;0.60;-3.12;
ALTYN;GBX;0.62;2.04;2.04;
ALUMASC GROUP;GBX;128.50;-3.00;2.39;
AMATI AIM VCT;GBX;145.50;0.68;0.68;
AMIAD WATER;GBX;240.00;5.00;-2.04;
AMIGO;GBX;52.90;4.10;8.40;
AMINO TECH;GBX;145.50;0.34;0.34;
AMRYT PHARMA;GBX;123.00;0.50;0.00;
AMUR MINERALS;GBX;1.78;0.28;0.28;
ANDREWS SYKES;USD;550.00;0.00;0.00;
ANEXO GROUP PLC;USD;183.50;0.01;0.00;
ANGLE;GBX;73.00;0.00;0.00;
ANGLESEY MINING;GBX;1.60;0.00;0.00;
ANGLING DIRECT;GBX;59.00;0.00;-13.87;
ANGLO AFRI O&G;GBX;0.26;0.00;0.00;
ANGLO AFRICAN;USD;6.50;0.00;4.00;
ANGLO AMERICAN;GBX;2;054.50;-9.50;
ANGLO ASIAN;GBX;139.00;-2.33;1.09;
ANGLO PACIFIC;GBX;152.50;0.00;-1.29;
ANGLO-EASTERN;GBX;570.00;0.25;-1.38;
ANGUS ENERGY;USD;0.82;32.00;32.00;
ANIMALCARE GRP;GBX;192.50;-49.00;0.00;
ANPARIO;USD;343.00;0.88;0.88;
ANTOFAGASTA;GBX;848.60;1.50;-3.26;
AO WORLD;GBX;73.70;0.96;0.96;
AVI JAPAN OPPO.;GBX;113.50;-2.75;-2.37;
AVINGTRANS;USD;326.00;-1.21;-1.21;
AVIVA;GBX;409.20;-4.00;0.87;
AVOCET MINING;GBX;13.10;0.00;0.00;
AVON RBR.;GBX;2;730.00;-3.60;
B&M EUROPEAN;USD;380.00;0.52;0.52;
B.P MARSH;GBX;265.00;0.00;0.38;
B.S.D CROWN DI;GBX;25.00;-10.00;-3.85;
B90 HOLDINGS;GBX;6.75;-4.26;-4.26;
BABCOCK INTL;USD;493.00;-2.00;0.82;
BACANORA LITHI.;GBX;32.00;0.00;0.00;
BAE SYS.;GBX;637.00;1.00;0.19;
BAGIR GRP;USD;0.57;-8.00;-8.00;
BAHAMAS PETROL;GBX;3.00;-1.00;-4.76;
BAILL.G.SHIN.;GBX;161.60;-2.53;-2.53;
BAILLIE G.JAP.;USD;783.00;0.30;-1.51;
BAILLIE GEU;GBX;940.00;0.21;0.21;
BAILLIE GIFFORD;GBX;201.00;-4.10;0.50;
BAILLIE GIFFORD;GBX;161.00;0.31;0.31;
BAKKAVOR;GBX;138.80;0.00;0.14;
BEEKS FIN.CLOUD;GBX;118.50;-6.00;-4.82;
BEGBIES;GBX;82.00;-6.82;-6.82;
BELLWAY;GBX;4;225.00;-6.00;
BELVOIR;GBX;173.00;0.42;0.86;
BENCHMARK HLDS;GBX;42.50;-18.00;-1.16;
BEOWULF;GBX;5.20;-1.89;-1.89;
BERKELEY ENG;GBX;10.00;-1.50;0.50;
BERKELEY GP.HLD;GBX;5;362.00;0.49;
BERMELE;GBX;1.25;0.50;0.00;
BEST;GBX;430.00;1.18;1.18;
BEZANT RES;GBX;0.14;0.10;-3.33;
BHP GROUP;GBX;1;667.60;-1.42;
BIDSTACK GROUP;GBX;7.25;0.05;-6.45;
BIFFA;GBX;300.00;0.05;-2.28;
BIG SOFA TECH;GBX;3.90;26.00;0.00;
BIG YELLOW GRP;GBX;1;214.00;0.58;
BIGBLU BROADB.;GBX;88.50;0.00;0.00;
BILBY;GBX;23.50;5.00;0.00;
BILLING SERVICE;GBX;3.25;0.00;0.00;
BILLINGTON;GBX;431.00;0.01;-2.71;
BALFOUR B.;GBX;287.60;-5.00;-1.71;
BANGO;GBX;97.50;0.52;0.52;
BANK OF GEORGIA;GBX;1;701.00;0.50;
BANKERS INV.TST;GBX;1;020.00;0.97;
BARCLAYS;GBX;175.08;-12.00;-1.47;
BARING EMERGING;GBX;908.00;0.70;0.44;
BARLOWORLD;GBX;590.00;-10.00;0.00;
BARON OIL;GBX;0.12;-7.69;-7.69;
BARONSMEAD 2VT;GBX;76.50;-2.62;0.00;
BARONSMEAD VT;GBX;73.75;0.00;0.00;
BARR (A.G.);GBX;583.00;-4.00;0.87;
BARRATT DEVEL.;GBX;870.80;0.05;0.05;
BASE RES;GBX;12.75;0.00;0.00;
BASKERVILLE CA;USD;3.45;0.01;0.00;
BATM ADVANCED;USD;43.30;0.92;0.92;
BB HEALTHCARE;USD;156.00;0.00;0.32;
BBGI SICAV;USD;167.00;0.00;0.89;
BCRE-BRACK CAP.;USD;-;5.00;0.00;
BE HEARD;USD;0.50;0.00;0.00;
BEAZLEY;USD;581.50;0.40;1.31;
BOULD OPP;USD;0.02;0.00;0.00;
BOWLEVEN;USD;6.27;0.00;0.00;
BP;USD;457.50;-3.50;0.76;
BR.AMER.INV.TST;USD;31.50;0.00;0.00;
BR.AMER.TOB.;USD;3;308.00;0.00;
BR.LAND;USD;567.20;-23.50;-2.31;
BR.SMALL CO.2;GBX;51.50;0.00;0.00;
BR.SMALLER COS.;GBX;73.00;-13.40;0.00;
BR.THROG.TRUST;GBX;716.00;0.56;0.56;
BRAEMAR SHIP;GBX;181.50;0.00;0.00;
BRAIME ORD;GBX;1;600.00;0.00;
BRAIME'A'N/V;GBX;1;750.00;-4.00;
BRAND ARCHITEK.;GBX;175.00;0.00;0.00;
BRAVE BISON GRP;GBX;1.38;0.00;3.77;
BRAVEHEART INV;GBX;10.00;0.00;0.00;
BREWIN DOLPHIN;GBX;359.80;0.00;0.77;
BRICKABILITY;GBX;73.00;0.00;0.00;
BRIGHTON PIER;GBX;64.50;0.05;0.00;
BRITVIC;GBX;918.00;0.05;0.05;
BROOKS;GBX;2;155.00;0.00;
BIOME TECH;GBX;270.00;0.00;0.00;
BIOPHARMA CRED.;USD;1.00;0.00;0.20;
BIOTECH GWTH;USD;990.00;2.13;0.00;
BIOVENTIX;USD;3;900.00;0.00;
BISICHI MINING;USD;110.00;35.00;0.00;
BLACKBIRD;GBX;17.00;0.91;-2.86;
BLACKROCK BRNA;GBX;192.00;0.00;0.26;
BLACKROCK ENGY;GBX;64.90;0.50;0.15;
BLACKROCK FR;GBX;117.50;0.00;0.00;
BLACKROCK GREAT;GBX;425.00;0.50;0.00;
BLACKROCK I&G;GBX;203.00;0.98;0.98;
BLACKROCK LAT A;GBX;479.00;0.10;0.42;
BLACKROCK SML;GBX;1;774.00;0.67;
BLACKROCK WLD;GBX;370.50;0.00;0.94;
BLAN TECH GRP;GBX;202.00;0.00;7.16;
BLENCOWE RESOU.;GBX;4.50;-2.00;0.00;
BLOCK ENERGY P.;GBX;4.15;0.00;0.00;
BLOOMSBURY PUB.;GBX;275.00;2.00;-1.79;
BLUE PLANET INV;GBX;36.50;0.00;0.00;
BLUE PRISM;GBX;1;602.00;-12.00;
BROWN(N.) GRP.;GBX;69.50;-1.50;-2.11;
BRUNNER INV.TST;GBX;910.00;0.12;0.44;
BSF ENTERPRISE.;GBX;7.00;4.00;0.00;
BT GROUP;GBX;155.82;1.35;1.35;
BUNZL;GBX;1;911.50;0.00;
BURBERRY GRP;GBX;1;978.50;2.08;
BYOTROL;GBX;3.20;-1.27;10.34;
C4X DISCRY HDGS;GBX;12.25;-24.50;0.00;
CADENCE MINERAL;GBX;5.25;-1.37;-8.70;
CADOGAN;GBX;4.80;-27.50;0.00;
CAFFYNS;GBX;400.00;0.00;0.00;
CAIRN ENERGY;GBX;175.80;0.30;-1.90;
CAKE BOX HOLDI.;GBX;175.50;0.00;0.00;
CALCULUS VCT;GBX;50.00;0.00;0.00;
CALEDONIA INV.;GBX;3;125.00;0.50;
CALEDONIAN TST.;GBX;180.00;0.32;-2.70;
CALISEN;GBX;238.00;0.00;-1.65;
CAMBRIA AUTO;GBX;70.00;0.00;0.00;
CAMBRIDGE COG;GBX;30.00;-3.40;0.00;
CAMELLIA;GBX;8;650.00;0.00;
BLUE STAR;GBX;0.13;0.00;1.96;
BLUEBIRD MER;GBX;1.90;0.00;0.00;
BLUEJAY MIN;GBX;8.42;0.00;-2.04;
BLUEROCK;GBX;88.00;0.17;-9.74;
BMO CAP & INC;GBX;353.50;0.42;0.42;
BMO GLOBAL;GBX;143.70;-9.50;0.90;
BMO MAN GRWTH;GBX;227.00;0.00;0.00;
BMO MAN INC;GBX;144.50;-1.50;0.00;
BMO PRIV. ORD;GBX;412.00;1.23;1.23;
BMO REAL EST;GBX;85.00;-1.30;0.47;
BMO UK HIGH;GBX;100.00;0.00;0.00;
BMO UK HIGH B;GBX;100.00;0.00;0.00;
BMO UK HIGH U;GBX;395.00;0.00;0.00;
BODYCOTE;GBX;872.00;5.00;-2.79;
BOKU; INC.;GBX;73.00;1.39;
BONHILL GROUP;GBX;27.50;0.40;-3.51;
BOOT(H);GBX;331.00;0.90;0.90;
BORDERS & STH.;GBX;1.65;0.00;-11.07;
BOSTON INT;GBX;3.00;0.00;0.00;
BOTSWANA DIAM;GBX;0.78;0.00;-18.42;
CANADIAN OVER;GBX;0.10;0.00;-2.44;
CAP & COUNT;GBX;238.90;-2.45;-2.45;
CAP-XX;GBX;3.10;-6.00;0.00;
CAP.&REG.;GBX;204.80;0.24;0.24;
CAPITA GROUP;GBX;148.55;0.00;-1.62;
CAPITAL GEARING;GBX;4;455.00;0.50;
CARCLO;GBX;10.17;0.11;0.00;
CARD FACTORY;USD;87.40;-2.45;-1.30;
CARDIFF PROP.;USD;1;725.00;0.00;
CARETECH HLDG;USD;500.00;-5.00;1.21;
CARIBBEAN INV;USD;41.50;13.70;13.70;
CARILLION;USD;14.20;0.00;0.00;
CARNIVAL;USD;3;083.00;-1.15;
CARRS GROUP;USD;152.00;0.64;-3.18;
CASPIAN SUNRISE;USD;6.50;0.00;-3.70;
CASTINGS;USD;438.00;6.00;0.23;
CASTLETON;USD;73.00;0.00;0.00;
CATALYST MEDIA;USD;64.00;5.00;0.00;
CATCO REINS.;USD;0.21;0.00;0.00;
CATCO REINS. C;USD;0.39;0.00;0.00;
CATENA GRP;GBX;27.50;0.00;0.00;
CATENAE IN PLC;GBX;0.65;0.00;0.00;
CATHAY INTL LD;GBX;2.75;0.00;0.00;
CC JAPAN;GBX;147.50;-1.75;-1.17;
CELLO HEALTH;GBX;145.00;0.35;0.35;
CELTIC;GBX;147.50;0.50;0.00;
CENKOS SEC;GBX;65.00;6.56;6.56;
CENTAUR;GBX;40.00;0.00;2.56;
CENTRAL ASIA;GBX;210.00;4.00;-1.87;
CENTRALNIC;GBX;84.50;-1.17;-1.17;
CENTRICA;GBX;73.66;1.00;1.40;
CEPS;GBX;32.50;0.00;0.00;
CERES POWER;GBX;508.00;-4.00;0.39;
CERILLION;GBX;220.00;0.00;0.00;
CHAARAT GOLD;GBX;35.60;-1.00;0.28;
CHALLENGER AQ;GBX;0.14;0.00;0.00;
CHAMBERLIN;GBX;24.00;1.02;0.00;
CHARACTER GRP.;GBX;292.00;0.34;0.34;
CHARLES STANLEY;GBX;337.00;0.00;1.51;
CHECKIT;GBX;33.00;-2.00;-5.04;
CHELVERTN UK;GBX;204.00;-2.00;0.97;
CHELVERTON;GBX;38.00;0.00;0.00;
CHEMRING GRP.;GBX;275.00;0.00;0.90;
CHESNARA;GBX;325.00;-2.50;0.78;
CHESTERFIELD R.;GBX;2.90;-3.33;-3.33;
CHINA NONFERR;GBX;11.85;2.50;1.72;
CHRISTIE GRP.;GBX;123.00;0.00;0.00;
CHRYSALIS VCT;GBX;54.00;0.10;0.00;
CHURCHILL CHINA;GBX;1;990.00;0.00;
CINEWORLD;GBX;176.30;0.20;-1.92;
CIRCASSIA;GBX;27.80;4.51;4.51;
CITY LON INV;GBX;453.50;0.00;-3.20;
CITY LON.;GBX;431.00;0.00;0.92;
CITY LON.GRP;GBX;127.50;0.00;0.00;
CITY PUB GROUP.;GBX;197.50;-3.45;0.00;
CIVITAS SOCIAL;GBX;98.50;0.00;0.00;
CLARKSON;GBX;2;900.00;1.20;
CLEAR LEISURE;GBX;0.23;-1.86;0.00;
CLEARSTAR DI;GBX;56.50;-15.00;0.89;
CLINIGEN;GBX;883.50;-1.40;-1.40;
CLIPPER;GBX;282.25;10.25;3.77;
CLONTARF;GBX;0.70;-3.45;-3.45;
CLOSE BR.GRP.;GBX;1;436.00;0.03;
CLOUDCALL GRP;GBX;94.50;-1.78;0.53;
CLOUDCOCO;GBX;0.93;-26.00;0.00;
CLS HDGS;GBX;277.00;-1.07;-1.07;
CLUFF NATURAL;GBX;1.41;0.50;-1.05;
CMC MKTS;GBX;162.40;0.73;0.73;
CML MICROSYSTEM;GBX;370.00;0.00;0.00;
COATS GROUP;GBX;73.45;-3.00;1.10;
COBRA RESOURCE.;GBX;1.80;20.00;20.00;
COCA-COLA EURO.;EUR;51.05;0.01;0.59;
COCACOLA HBC AG;GBX;2;834.00;0.63;
CODEMASTERS GR.;GBX;308.50;-1.20;0.00;
COHORT;GBX;677.00;0.59;0.59;
COLEFAX GRP.;GBX;430.00;0.00;0.00;
COLLAGEN SOL;GBX;2.85;0.80;3.64;
COLUMBUS ENERGY;GBX;2.35;0.00;0.00;
COMPASS GROUP;GBX;1;945.00;0.30;
COMPTOIR GRP;USD;7.75;0.03;0.00;
